iter	Passed	Remaining
0	99	139546
1	226	158391
2	343	159886
3	473	165115
4	570	159034
5	661	153753
6	754	150094
7	836	145622
8	923	142669
9	1014	141018110	1109	140049111	1204	139268112	1310	139831113	1420	140653114	1519	140306115	1608	139159116	1703	138598117	1823	139979118	1933	140518
19	2023	139654
20	2129	139854
21	2210	138442
22	2300	137744
23	2378	136390
24	2461	135379
25	2541	134315
26	2618	133132
27	2695	132092
28	2773	131106
29	2853	130288
30	2926	129245
31	3000	128253
32	3081	127638
33	3164	127129
34	3244	126540
35	3324	125947
36	3400	125279
37	3495	125284
38	3604	125799339	3706	126004
40	3795	125822441	3900	126118442	4019	126835443	4335	133627
44	4502	135585
45	4644	136715
46	4807	138389
47	4900	138028
48	5002	137937
49	5110	137987
50	5231	138385
51	5387	139656
52	5494	139652
53	5620	140100
54	5724	139999
55	5847	140329
56	5951	140232
57	6062	140274
58	6173	140310
59	6298	140676
60	6415	140816
61	6533	140992
62	6659	141324
63	6783	141603
64	6888	141489
665	7118	143882666	7245	14414667	7268	142369
68	7373	142233
669	7599	144392770	7720	144520771	7840	144610772	7964	144778773	8086	144904774	8210	145055775	8341	145321776	8455	145285777	8568	145223778	8684	145222779	8800	145215880	8927	145371881	9047	145428882	9172	145545883	9285	14546684	9308	144008
85	9452	144425
86	9592	144776
87	9727	145025
88	9842	144987
89	9980	145276
90	10103	145327
91	10213	145211
92	10330	145188
93	10457	145294
94	10570	145204
95	10692	145236
96	10831	145498
97	10955	145555
98	11102	145903
99	11255	146322
100	11393	146535
101	11535	146798
102	11671	146967
103	11801	147061
104	11926	147095
105	12042	147007
106	12183	147226
107	12294	147079
108	12421	147120
109	12522	146852
110	12627	146636
111	12721	146300
112	12824	146061
113	12945	146039
114	13074	146093
115	13182	145914
116	13305	145900
117	13456	146202
118	13584	146232
119	13737	146529
120	13867	146581
121	13989	146548
122	14115	146547
123	14219	146326
124	14325	146124
125	14458	146188
126	14576	146107
127	14694	146023
128	14813	145949
129	14938	145933
130	15046	145757
131	15160	145631
132	15263	145406
133	15388	145385
134	15506	145304
135	15627	145239
136	15747	145172
137	15872	145148
138	15992	145084
139	16135	145222
140	16236	144979
141	16370	145027
142	16512	145152
143	16655	145275
144	16795	145365
145	16910	145244
146	17016	145047
147	17155	145128
148	17279	145078
149	17390	144921
150	17495	144717
151	17606	144555
152	17716	144396
153	17836	144313
154	17999	144580
155	18109	144414
156	18216	144224
157	18360	144327
158	18486	144288
159	18601	144158
160	18701	143920
161	18838	143964
162	18951	143824
163	19073	143752
164	19203	143738
165	19320	143622
166	19453	143633
167	19560	143442
168	19675	143314
169	19775	143078
170	19883	142902
171	19999	142785
172	20107	142612
173	20224	142498
174	20344	142413
175	20456	142265
176	20569	142124
177	20702	142122
178	20817	141999
179	20921	141804
180	21038	141691
181	21157	141594
182	21267	141437
183	21393	141384
184	21494	141166
185	21612	141064
186	21728	140946
187	21855	140897
188	21960	140712
189	22089	140673
190	22197	140508
191	22328	140482
192	22454	140425
193	22592	140443
194	22713	140357
195	22846	140341
196	22967	140254
197	23084	140141
198	23220	140141
199	23352	140112
200	23466	139983
201	23582	139859
202	23701	139754
203	23842	139782
204	23966	139705
205	24119	139798
206	24247	139744
207	24367	139646
208	24487	139545
209	24601	139406
210	24711	139253
211	24891	139488
212	25015	139405
213	25145	139359
214	25261	139233
215	25384	139145
216	25495	138988
217	25631	138973
218	25766	138950
219	25900	138921
220	26004	138727
221	26123	138617
222	26237	138480
223	26354	138360
224	26519	138491
225	26640	138389
226	26752	138239
227	26887	138211
228	26998	138059
229	27126	137991
230	27232	137814
231	27359	137742
232	27474	137607
233	27589	137477
234	27714	137391
235	27824	137236
236	27948	137148
237	28068	137041
238	28200	136989
239	28317	136869
240	28435	136750
241	28583	136777
242	28709	136694
243	28833	136604
244	28969	136572
245	29097	136499
246	29234	136465
247	29374	136448
248	29489	136316
249	29627	136284
250	29743	136157
251	29864	136050
252	30000	136010
253	30132	135953
254	30272	135930
255	30407	135883
256	30546	135855
257	30650	135671
258	30792	135653
259	30898	135480
260	31034	135432
261	31187	135463
262	31293	135287
263	31395	135094
264	31511	134963
265	31625	134825
266	31739	134683
267	31889	134697
268	32025	134650
269	32137	134502
270	32264	134415
271	32413	134420
272	32519	134247
273	32648	134167
274	32769	134058
275	32901	133988
276	33021	133876
277	33165	133856
278	33292	133766
279	33440	133762
280	33547	133591
281	33657	133437
282	33787	133360
283	33933	133346
284	34053	133227
285	34235	133349
286	34350	133211
287	34474	133111
288	34595	132995
289	34728	132924
290	34835	132758
291	34951	132623
292	35070	132500
293	35198	132414
294	35348	132405
295	35462	132264
296	35577	132127
297	35702	132025
298	35818	131894
299	35929	131740
300	36049	131621
301	36171	131509
302	36284	131367
303	36389	131192
304	36534	131163
305	36679	131136
306	36822	131098
307	36944	130984
308	37083	130933
309	37217	130861
310	37340	130752
311	37520	130839
312	37655	130771
313	37795	130719
314	37914	130593
315	38031	130461
316	38155	130353
317	38268	130209
318	38451	130300
319	38591	130244
320	38710	130120
321	38843	130039
